recipe_name,ingredients,units
Groentelasagne met vier kazen,look  ajuinen  chilipeper  aubergine  rode paprika&#039;s  courgette tijm laurier basilicum rozemarijn tomatenpuree zout tomatenblokjes spinazie  sjalot blauwe kaas (Pas de bleu) halfharde kaas (Pas de Geuze) verse geitenkaas (Virginie) gedroogde oregano paprikapoeder lasagnevel geraspte harde kaas (bv Oud Roeselaere),2 teentjes 2 0.5 1 2 1 enkele takjes 2 blaadjes enkele takjes enkele takjes 1 blikje een snuif 1 blikje 250 g 1 80 g 80 g 80 g flinke snuiven een snuif 1 pakje 150 g
"Indiase gemarineerde kip met saffraanrijst, raita en opgelegde sjalot",basmatirijst  sjalotten appelazijn zout bloemsuiker kippendijen volle yoghurt kurkuma paprikapoeder  komkommer look look Griekse yoghurt komijn munt  ajuinen gember kardemom garam masala saffraan  tomaten tomatenpuree koriander,200 g 2 2 deciliters een snuifje 1 theelepel 600 g 4 eetlepels een snuif een snuif 1 1 teentje 3 teentjes 200 g een snuif enkele takjes 2 30 g een snuif flinke snuiven 2 dopjes 2 eetlepels enkele takjes
Noordzeeviskroket met gefruite peterselie en grijze garnalen,witte selder  ajuinen look gedroogde tijm  laurierblaadjes  peperbollen  steranijs visgraat witte wijn water grijze garnalen  gelatineblaadjes peterselie champignons schelvis bloem boter room geraspte Emmentaler cayennepeper zout  citroenen  eiwitten peper paneermeel,4 stengels 2 2 teentjes 1 eetlepel 3 10 2 1 kg 5 deciliters 1 liter 400 g 4 enkele takjes 2 bakjes 500 g 340 g 180 g 1 dl 200 g een snuifje snuifjes 0.5 4 snuifjes 100 g
Poire belle Hélène,water kristalsuiker  vanillestok  kaneelstokje  steranijsjes  citroen (de zeste)  peren room vanillesuiker olie met neutrale smaak amandelschilfers melk pure chocolade boter vanille-ijs,6 dl 300 g 1 1 3 1 2 3 dl 5 eetlepels een scheutje 50 g 1 dl 200 g een klontje 4 bolletjes
"""Caesar"" sandwich", Romeinse sla  eieren  eierdooiers scherpe mosterd kappertjes  rode chilipepers look witte miso pasta dragonazijn arachideolie yoghurt  limoenen (het sap) seitan fritti  sjalot Parmezaanse kaas,0.5 3 2 1 koffielepel 2 koffielepels 0.5 1 teentje 2 koffielepels 1 scheutje 3 deciliters 3 eetlepels 0.5 400 g 1 100 g
"""Portie gemengd""","bladerdeeg  eierdooier gelatine (van 1,5 g) groentebouillon oude oude kaas in blok room selder  sjalot augurken zilveruitjes bieslook droge worsten",1 vel 1 1 blaadje 1 dl 300 g een scheutje 3 stengels 1 100 g 100 g 0.5 bussels 4
'Glazed chicken' op de barbecue,whisky water  kip mosterd zoetzure saus ketchup gembersiroop ahornsiroop appelazijn aardappelen groene asperges  rode uien knoflook,1 dl 1 dl 1 1 eetlepel 1 eetlepel 1 eetlepel 1 eetlepel 1 eetlepel 2 eetlepels 800 g 2 bussels 2 2 tenen
'Pie' met wintergroentjes en gerookte ossentong,bloem smout boter op kamertemperatuur water  ajuinen knoflook  wortel rapen prei selder  witte kolen room madeira gerookte ossentong  ei,350 g 75 g 75 g 0.5 deciliters 2 2 tenen 1 1 bussel 2 stengels 2 stengels 0.25 2 deciliters een scheutje 250 g 1
4/4 cake gevuld met speculaas en een ganache van chocolade, vanillestok zachte boter kristalsuiker vanillesuiker eieren (ongeveer 3 kleine eieren of 2 grote eieren) zelfrijzende bloem fondant chocolade boter room speculaas speculaaspasta,1 250 g 200 g 50 g 250 g 250 g 200 g 50 g 1 dl 100 g 200 g
Aalsterse vlaaien,gedroogde mastellen volle melk kandijsiroop donkerbruine suiker kristalsuiker foelie kaneelpoeder,250 g 1 liter 100 g 350 g 150 g 1 koffielepel 1 koffielepel
Aardappel in de wok met krokante groenten en woksaus,vastkokende aardappelen knoflook verse gember citroengras chilipeper sojasaus sesamolie vissaus honing water  limoen  rode ui sugar snaps champignons  lente-uien sojascheuten koriander,800 g 2 tenen 20 g 0.5 stengels een halve 2 dl 2 eetlepels 1 eetlepel 2 eetlepels 2 dl 1 1 200 g 250 g 3 100 g enkele takjes
Aardappel-cupcakes,chorizo (dikke; 4-5 mm)  artisjokken (opgelegd in olie)  ui verse geitenkaas bloem bakpoeder fijngehakte verse oregano olijfolie aardappel (loskokend)  ei,4 sneetjes 6 1 2 eetlepels 2 eetlepels 1 koffielepel 1 eetlepel 1 scheutje 1 kg 1
Aardappel-preisoep met gebakken currymosselen,Zeeuwse mosselen groentebouillon dikke aardappelen (loskokend) prei  uien look bieslook tijm laurier bloem mild currypoeder witte wijn zure room water olijfolie zout,1.5 kg 1 liter 4 2 stammen 3 1 teentje 0.5 bussels 3 takjes 3 blaadjes 6 eetlepels 2 eetlepels 4 deciliters 2 deciliters 2 deciliters scheutjes snuifjes
Aardappel-preisoep met taleggio,kippen- of groentebouillon dikke aardappelen  preistengels  uien tenen look  laurierblaadjes takjes tijm taleggio (of een gelijkwaardige zachte kaas) room boter dikke aardappel arachideolie (of een neutrale frituurolie) plakjes gekookte ham,3 l 4 4 2 2 3 3 200 g scheutjes klontjes 1 5 dl 4
Aardappel-preisoep met waterkerscoulis en gerookte makreel,kippenbouillon gekoelde druivenpitolie of fijne olijfolie dikke preistronken dikke loskokende aardappelen grote uien look laurier zure room mierikswortelpasta (of meer naar smaak) boter  gerookte makreel (of filets) waterkers,3 l 1 dl 4 4 2 1 teentje 4 blaadjes 100 g 1 koffielepel 1 klontje 1 2 bussels
Aardappel-seldersoep met visballetjes,"kippen- of groentebouillon groene selder prei dikke uien  aardappelen look laurier tijm boter witte vissen (prijsbewust, bv. wijting) room lavas  citroenen room (naar smaak)",3 l 1 1 stengel 2 3 2 teentjes 4 blaadjes 2 takjes klontjes 300 g 0.5 deciliters 3 takjes 0.5 scheutjes
Aardappelcakes met gehakt,loskokende aardappel (bv. bintje)  sjalot look rode chilipeper koriander gemengd gehakt koriander bloem,1 kg 1 1 teentje 0.5 0.5 bussels 250 g 0.5 bussels 4 eetlepels
Aardappelchurros met chorizo en limoenaïoli met gekonfijte paprika, rode paprika&#039;s olijfolie look look tijm rozemarijn  frietaardappelen droge pikante chorizo water boter gerookt paprikapoeder chiliflakes bloem  eieren cayennepeper  wit brood zonder korst melk  eierdooiers  limoen arachideolie,2 flinke scheut 2 teentjes 1 teentje enkele takjes enkele takjes 2 100 g 3 deciliters 120 g een snuif snuiven 180 g 4 snuiven 2 sneetjes 1 dl 2 1 2 deciliters
Aardappelcurry met raita,arachideolie  rode ui look  spitskool gember snuif snuif snuif gemalen venkelzaad gemalen kruidnagel ( of gewone kruidnagel ) grote pompoenen kokosmelk aardappelen ( roseval of andere vastkokende aardappelen )  komkommers  sjalot look sumak komijn Griekse yoghurt krulpeterselie  citroenen  naanbrood krokante uitjes koriander,een scheut 1 4 teentjes 0.25 1 duim 1 flinke 1 flinke 1 flinke 1 snuifje 1 snuifje 0.25 1 blik 800 g 0.5 1 1 teentje 1 snuif 1 snuif 4 eetlepels enkele takjes 0.25 2 een handvol enkele blaadjes
Aardappelgratin met lamsgehakt en witte kool,melk room knoflook rozemarijn laurier  witte kolen lamsgehakt aardappelen (vastkokend) gemalen kaas,0.5 l 0.5 l 2 tenen 1 takje 2 blaadjes 0.25 600 g 800 g 200 g
Aardappelkroketten,aardappel (goed voor 25-30 kroketten)  eierdooier bloem bloem paneermeel  eiwitten,1 kg 1 enkele eetlepels enkele eetlepels 200 g 3
Aardappelpannenkoeken,"loskokende aardappelen (liefst oude, bevatten meer zetmeel) patisseriebloem  ei melk",800 g 90 g 1 3 deciliters
Aardappelpuree,aardappel (loskokend) boter  ei melk,1 kg 40 g 1 1 scheutje
Aardappelsalade,aardappelen (vastkokend)  sjalotten  appel zure room verse bieslook dille,400 g 2 1 4 eetlepels 1 bussel enkele takjes
Aardappelsoep met gerookte zalm en peterseliecoulis,loskokende aardappelen (bv. bintje) gezouten spek bleekselder prei (enkel het wit gebruiken)  ui kippenbouillon  peterseliestengels (voor het bouquet garni) tijm (voor het bouquet garni) laurier (voor het bouquet garni) peterselie gerookte zalm zure room,8 2 sneetjes 2 stengels 1 stronk 1 1.5 l 4 3 takjes 2 blaadjes 0.5 bussels 4 plakken 3 eetlepels
Aardappelsoep met gerookte zalm en peterseliecoulis,groentebouillon  ajuinen look aardappelen selder prei krulpeterselie rozemarijn tijm laurier  steranijs bicarbonaat spinazie gerookte zalm druivenpitolie room,2 l 2 3 tenen 600 g 4 stengels 2 stengels 1 bussel enkele takjes enkele takjes enkele blaadjes 1 een snuifje 50 g 200 g een scheutje een scheutje
Aardappelsoep met groene kool en paling,groentebouillon  ajuinen prei bleekselder  groene kolen aardappelen tijm laurier rozemarijn gerookte palingen (gefileerd) zure room,3 l 4 1 stengel 3 stengels 0.5 800 g enkele takjes enkele blaadjes 1 takje 200 g 2 eetlepels
Aardappelsoep met smeltkaas en hamblokjes,bouillon  ajuinen knoflook witte selder prei  aardappelen (loskokend) rozemarijn tijm laurier smeerkaas met ham (bijvoorbeeld Maredsous) gekookte ham kervel,5 l 4 4 tenen 1 2 stronken 8 enkele takken enkele takken 6 blaadjes 2 doosjes 400 g enkele takjes
Aardappelsoep met snijbonen,groentebouillon prei selder  ajuinen dikke aardappelen tijm laurier  steranijs bicarbonaat snijbonen roggebrood kruidenkaas,3 l 2 stengels 5 stengels 3 5 enkele takjes enkele blaadjes 1 een snuifje 500 g 3 sneden 125 g
Aardappelsoepje met gerookte paling,"kippen- of groentebouillon  aardappelen stammen prei  uien look (naar smaak)  bouquet garni (laurier, tijm, peterseliestengels) gerookt spek (stuk) zure room gerookte palingen (naar keuze gefileerd) zeekraal",3 l 8 2 4 1 teentje 1 250 g 4 deciliters 200 g 100 g
Aardappeltaart met Gouda en tijm,dikke aardappelen (vastkokend) Gouda (half-belegen of belegen) boter (jonge) tijm bakje verse kervel basilicum bakje tuinkers waterkers notenolie olijfolie balsamico,750 g 150 g 50 g 5 takjes 1 1 bussel 1 1 bussel 1 scheutje 1 scheutje 1 scheutje
Aardappeltortilla met artisjokken,nieuwe aardappelen  ajuin knoflook rode puntpaprika&#039;s groene olijven gegrilde artisjokharten (bokaal) zongedroogde tomaten  eieren rucola lente-ui kerstomaten,600 g 1 1 teentje 2 100 g 200 g 200 g 8 1 bussel 1 bussel 250 g
Aardappeltortilla met ui en paprika,grote aardappelen rode paprika grote ui look diepvrieserwten  eieren,2 1 1 1 teentje 100 g 5
Aardappelwafel met chorizosalade en cheddar,aardappelen water boter boter bloem  eieren waterkers tuinkers lente-uien zongedroogde tomaten basilicumblaadjes cheddar chorizo,600 g 1.2 deciliters 100 g een klontje 150 g 4 1 bussel 1 bussel 1 bussel 0.5 bakjes een handvol 100 g 100 g
Aardbeien en limoenroom op een krokante bodem,limoensap boter bloemsuiker vanillesuiker room  eigelen malse boter suiker bloem (gepelde) amandelen aardbeien bloemsuiker,5 cl 25 g 40 g 15 g 12 cl 0.5 100 g 50 g 150 g 50 g 150 g 0.5 eetlepels
Aardbeien shortcake,bloem bakpoeder kristalsuiker boter zout room  ei bloemsuiker mascarpone  vanillestok  limoen aardbeien Grand Marnier of Cointreau munt,400 g 2 koffielepels 180 g 160 g een snuifje 4 dl 1 150 g 200 g 1 1 1 bakje een scheutje enkele blaadjes
